# RC100 (Nestor Shachar et al. 2023, ApJ 944, 78; arXiv:2209.12199v1) Appendix B, Table 3
# "RC100 galaxy best-fit parameters and characteristics" (average of three fitting methods).
# TRANSCRIBED by eye from the table images on PDF pages 27-29 of arXiv:2209.12199v1
# (PDF sha256 a04738e47a61b761a693ba7b156d16240fcffbb1d9252df9456ca4d209aeff22), not a publisher
# machine-readable table (none found on VizieR; the IOP site is behind bot protection and was not
# circumvented). Columns kept: those used by scripts/a0_highz_measurement.py plus the independent
# log Sigma_DM(<Re) column, which is used ONLY as a transcription check (recomputed from fDM, Vc, Re).
# Omitted columns: FWHM, T_int, dlog SFR/SFR(MS), log M_bulge, log M_vir^SMHM, log Sigma_SFR.
# Paper conventions: flat LCDM H0=70, Om=0.3; Chabrier IMF; M_gas from Tacconi+2020 scaling;
# fDM(Re) = V_DM^2(Re)/V_circ^2(Re); V_c(Re) corrected for pressure support (Burkert+2010, their eq. 8).
# VERIFIED 2026-09-16 by independent re-transcription (PDF sha256 re-fetched from arXiv, matches; pages 27-29 embedded images read at 2x); 0 cells corrected: all 1400 numeric cells agree. Internal check log10[fDM*Vc^2*Re/(G*pi*Re^2)], G=4.30091e-6 kpc (km/s)^2/Msun, reproduces logSigmaDM with |resid|<=0.03 dex for 93/100 rows; 7 rows 0.03-0.10 dex all have fDM<=0.06 (2-digit fDM rounding). Paper eq.[2]: Sigma_DM(Re)=M_DM(Re)/(pi Re^2), M_DM from fitted NFW halo.
idx,galaxy,z,logMstar,logMbar,e_logMbar,Re_kpc,e_Re_kpc,fDM,e_fDM,Vc_kms,e_Vc_kms,sigma0_kms,e_sigma0_kms,logSigmaDM,e_logSigmaDM
22,COS3 22796,0.91,10.32,10.61,0.19,9.93,1.71,0.53,0.19,152,30,25,7,7.96,0.68
23,U4 13849,0.91,10.71,10.88,0.12,6.79,1.35,0.31,0.13,213,43,29,5,8.19,0.59
24,U4 22199,0.91,10.6,10.46,0.06,4.93,1.19,0.02,0.04,117,23,35,5,6.71,0.62
25,U3 15226,0.92,11.11,10.72,0.10,5.79,1.28,0.28,0.12,182,36,30,6,8.08,0.61
26,GS4 05881,0.99,9.78,10.21,0.13,5.71,1.41,0.74,0.11,193,39,61,5,8.55,0.49
27,GS3 30840,1.02,10.31,10.51,0.13,5.82,1.64,0.65,0.11,207,41,38,5,8.55,0.53
28,GS4 29973,1.02,9.59,9.90,0.20,5.09,1.54,0.74,0.12,135,27,24,6,8.29,0.54
29,GS3 27242,1.02,10.64,10.85,0.10,2.85,0.88,0.12,0.08,259,52,12,5,8.31,0.86
30,COS3 16954,1.03,10.74,10.90,0.10,8.26,1.47,0.59,0.10,269,54,51,5,8.58,0.45
31,COS3 04796,1.03,10.8,11.18,0.11,9.60,1.58,0.42,0.11,266,53,14,6,8.36,0.49
32,EGS 13035123,1.12,11.18,11.08,0.09,10.19,1.63,0.19,0.13,196,39,16,3,7.72,0.73
33,EGS 13004291,1.2,10.97,11.11,0.06,3.65,1.02,0.04,0.06,284,57,54,6,7.78,0.93
34,EGS 13003805,1.23,11.23,11.46,0.07,5.94,1.18,0.05,0.08,321,64,29,9,7.83,0.96
35,GS4 30432,1.31,10.7,10.66,0.11,7.21,1.62,0.52,0.12,208,42,38,5,8.36,0.53
36,GS4 14356,1.36,10.57,10.72,0.19,5.59,1.26,0.46,0.23,193,39,26,15,8.35,0.74
37,EGS4 38153,1.36,10.44,11.16,0.16,5.11,1.28,0.35,0.14,314,63,57,12,8.70,0.70
38,GS4 27441,1.38,10.82,11.06,0.17,7.21,1.55,0.46,0.15,271,54,68,9,8.54,0.66
39,EGS4 24985,1.4,10.9,11.03,0.10,4.64,1.12,0.31,0.12,288,58,41,11,8.62,0.58
40,U4 27256,1.42,10.49,10.83,0.13,6.37,1.42,0.14,0.10,168,34,20,8,7.68,0.82
41,U4 32570,1.42,10.89,10.81,0.14,8.01,1.66,0.55,0.13,252,50,89,9,8.51,0.60
42,U4 28358,1.42,10.96,10.98,0.11,3.14,1.23,0.15,0.11,294,59,74,7,8.49,1.03
43,zC 403741,1.45,10.65,10.55,0.06,3.01,0.98,0.08,0.10,180,36,66,5,7.81,1.05
44,U4 33383,1.48,9.83,10.05,0.12,4.98,1.34,0.28,0.17,92,18,48,4,7.55,0.75
45,COS4 10048,1.5,10.34,10.56,0.12,7.48,1.41,0.47,0.11,160,32,46,5,8.08,0.51
46,D3a 6397,1.5,11.08,11.24,0.06,6.54,1.27,0.13,0.10,225,45,60,5,7.89,0.74
47,U4 31577,1.52,11.07,11.06,0.10,6.49,1.48,0.53,0.09,347,69,129,8,8.87,0.51
48,U4 35796,1.53,10.81,11.18,0.14,7.29,1.15,0.12,0.14,225,45,29,10,7.77,1.02
49,COS4 13890,1.53,11.33,11.44,0.07,7.19,1.75,0.34,0.08,412,82,41,5,8.77,0.51
50,EGS 13011166,1.53,11.08,11.25,0.08,6.89,1.33,0.26,0.11,320,64,53,7,8.47,0.56
51,COS4 24012,1.53,10.25,10.48,0.10,4.81,1.11,0.19,0.12,139,28,42,6,7.75,0.88
52,COS4 17808,1.59,10.72,10.75,0.10,4.46,1.55,0.10,0.10,226,45,26,9,7.94,0.92
53,GK 2540,1.61,10.28,10.52,0.16,3.13,1.02,0.27,0.18,155,31,21,5,8.19,0.99
54,GS4 43501,1.61,10.61,10.88,0.10,4.88,1.14,0.31,0.08,240,48,49,5,8.44,0.54
55,GS4 14152,1.62,11.3,11.52,0.09,6.93,1.26,0.14,0.09,350,70,40,8,8.26,0.93
56,GS4 16814,1.62,11.19,10.89,0.06,5.00,1.39,0.06,0.06,227,45,47,7,7.63,0.86
57,U4 34480,1.65,10.18,10.25,0.12,1.57,0.62,0.27,0.12,193,39,29,6,8.68,0.62
58,COS4 05606,1.66,9.9,10.63,0.16,4.29,1.39,0.35,0.12,205,41,36,9,8.40,0.79
59,U4 19708,1.66,11.26,10.84,0.08,5.88,1.55,0.32,0.10,219,44,34,4,8.28,0.51
60,GS3 15675,2.0,10.89,10.76,0.17,7.39,1.35,0.56,0.20,206,41,82,6,8.37,0.64
61,zC 412369,2.02,10.34,10.64,0.19,4.38,1.31,0.45,0.21,197,39,94,8,8.47,0.96
62,K20 ID9,2.04,10.65,10.91,0.13,7.11,1.40,0.45,0.15,234,47,24,8,8.41,0.56
63,COS4 10347,2.06,10.76,10.81,0.11,5.19,1.46,0.21,0.18,220,44,46,7,8.16,1.03
64,COS4 13174,2.1,11.03,11.28,0.07,6.99,0.94,0.16,0.10,268,54,41,8,8.10,0.69
65,GS4 01529,2.12,10.55,11.33,0.12,4.50,1.06,0.11,0.10,313,61,64,10,8.24,1.04
66,CDFS 2954,2.13,10.6,10.97,0.20,4.29,1.07,0.55,0.21,324,65,114,9,9.00,0.79
67,zC 405501,2.15,9.92,10.68,0.14,7.13,1.03,0.21,0.14,89,18,61,4,7.23,0.60
68,COS4 08775,2.16,10.35,10.46,0.14,4.24,1.37,0.17,0.13,129,26,48,5,7.70,0.97
69,COS4 05094,2.17,10.4,10.77,0.12,4.95,1.05,0.30,0.16,223,45,50,7,8.34,0.84
70,SSA22 MD41,2.17,9.86,10.46,0.32,7.61,1.31,0.74,0.20,190,38,73,6,8.42,0.49
71,BX389,2.17,10.6,11.05,0.18,6.95,1.01,0.56,0.13,302,60,79,6,8.73,0.51
72,U4 36568,2.18,11.05,11.19,0.08,3.71,1.38,0.03,0.06,342,68,77,6,7.90,1.06
73,zC 407302,2.18,10.39,10.74,0.09,4.64,1.16,0.40,0.09,225,45,43,5,8.51,0.50
74,GS3 24273,2.19,11.0,10.84,0.08,7.69,1.40,0.27,0.10,211,42,23,7,8.07,0.51
75,U4 20704,2.19,11.16,11.39,0.10,8.89,1.41,0.19,0.13,234,47,80,7,7.93,0.81
76,COS4 05433,2.19,10.6,10.80,0.11,5.40,1.27,0.22,0.15,206,41,40,6,8.10,0.86
77,zC 406690,2.2,10.62,11.05,0.04,4.82,1.21,0.04,0.06,276,55,72,4,7.64,0.85
78,BX610,2.21,11.0,11.04,0.11,5.24,1.41,0.38,0.10,307,61,77,5,8.70,0.61
79,K20 ID8,2.22,10.5,10.70,0.10,5.67,1.49,0.16,0.12,168,34,45,7,7.77,0.81
80,U3 10584,2.22,10.5,10.61,0.15,6.17,1.44,0.40,0.18,181,36,57,7,8.20,0.73
81,K20 ID7,2.22,10.37,11.04,0.23,7.50,1.77,0.65,0.17,282,56,72,5,8.71,0.54
82,U4 13704,2.22,10.39,10.62,0.19,3.59,1.08,0.41,0.21,193,39,39,8,8.49,0.82
83,K20 ID5,2.22,11.0,11.18,0.08,2.48,1.09,0.07,0.08,174,35,100,16,7.82,0.86
84,K20 ID6,2.24,10.43,10.66,0.12,5.19,1.10,0.27,0.17,154,31,62,5,7.96,0.85
85,zC 400569,2.24,11.08,10.95,0.07,4.31,1.31,0.16,0.09,241,48,58,5,8.21,0.88
86,BX482,2.26,10.26,10.97,0.17,5.98,1.03,0.60,0.15,285,57,71,4,8.78,0.52
87,J0901+1814,2.26,10.96,11.09,0.07,4.33,0.85,0.06,0.06,209,42,55,3,7.64,0.66
88,zC 405226,2.29,9.96,10.19,0.14,6.15,1.37,0.69,0.10,167,33,68,6,8.36,0.47
89,COS4 02672,2.31,10.57,10.83,0.18,7.11,1.32,0.40,0.22,199,40,62,4,8.21,0.79
90,U3 06856,2.31,10.48,10.56,0.14,2.48,0.86,0.26,0.18,195,39,53,12,8.47,1.02
91,D3a 15504,2.38,11.04,11.11,0.08,6.61,1.23,0.24,0.09,234,47,69,4,8.17,0.50
92,D3a 6004,2.39,11.5,11.47,0.08,5.52,1.20,0.10,0.11,359,72,65,5,8.23,1.07
93,zC 400528,2.39,11.04,10.87,0.06,1.75,0.78,0.03,0.10,308,62,74,11,8.02,1.09
94,GS4 37124,2.43,10.59,10.73,0.10,4.14,1.15,0.39,0.13,253,51,66,9,8.66,0.61
95,COS4 06079,2.44,10.57,11.03,0.12,5.26,1.37,0.07,0.13,239,48,36,6,7.76,0.94
96,zC 413597,2.45,9.87,10.13,0.11,2.02,1.34,0.09,0.11,136,26,40,9,7.79,1.23
97,GS4 42930,2.45,10.33,10.39,0.09,3.67,0.88,0.28,0.13,154,31,50,4,8.12,0.72
98,zC 410041,2.45,9.66,9.88,0.19,4.45,1.49,0.63,0.19,124,25,56,5,8.21,0.74
99,COS4 19753,2.47,10.51,10.59,0.12,4.22,1.06,0.08,0.12,134,27,73,7,7.38,0.81
100,U3 25105,2.52,11.05,11.06,0.07,5.72,1.45,0.08,0.08,239,48,53,7,7.77,0.95
