# Published high-z Tully-Fisher fit parameters, transcribed from the arXiv LaTeX sources (2026-09-16).
# e-print sha256: 1703.04321 27903922c3362f9bbb989679669cd485510981f91fca6d336d32cd84afda99fb; 1701.05561 1d8a45dce5bf8bd0cd6ba0d1c899bcd3b6112221b5ddd7195635b060b48f378e; 1810.07202 60e435eef57b04ada920fd18bf335f69d0f79f93942626fb30d871eb7f1fd7aa; 1811.05982 180c2cf5a042b20af2db7f846858f29d91e8ffe6e23c6196936f80803364f559; 1604.06103 822440d8bfb96d339f37d0256fe778c303e0a1295d70cad2bcac6540e67a8eb3; 1902.09554 710730417ada00c890b0335990273931a33de865b26d83cfd82f918d07175b00; 2005.00279 6b3289e27e7c45e0f8c738eb7909adcd58f69db8193c8024726ac28cb850f635
# Scatter columns: Ubler = intrinsic scatter zeta_int in dex of mass (errors not given);
#   Tiley+2016 = sigma_int (dex of mass); Tiley+2019a = sigma_int,vert (dex of mass).
# Table numbers follow the order of table environments in the arXiv source (VizieR's table3/tablea1
#   names agree with that order for Ubler and Tiley+2019a).
# Price+2020 (MOSDEF, ApJ 894 91, arXiv:1902.09554) publishes NO TF fit and NO per-galaxy table;
#   its Table 4 gives median log10(Mdyn/Mbar) per bin -- not transcribed here (see agent notes).
# Tiley+2019b (MNRAS 485 934, arXiv:1811.05982) publishes no TF fit and no tables (stacked rotation curves).
# Distance: every zero-point is in log M, and M scales as D_L^2 under each paper's cosmology.
paper,arxiv,table_or_section,relation,sample,z_range,z_typical,N,form,slope,slope_err,slope_status,zero_point,zero_point_err,pivot,scatter_int,scatter_int_err,offset_vs_z0,offset_vs_z0_err,offset_reference,velocity,pressure_corrected,mass_def,cosmology_imf
Tiley+2016 MNRAS 460 103,1604.06103,Table 4,M* TFR,KROSS disky (V80/sigma>3),0.8-1.0,,56,log(M*/Msun) = m*(log V80 - x0) + b; x0 = median log V80 (pivot column),3.68,,fixed to z~0 comparison,10.05,0.05,2.25,0.26,0.05,-0.41,0.08,Tiley+2016 z~0 composite,V80 = arctan-model rotation velocity at r80 (80% of Halpha flux),no,"M* SED (HyperZ), uniform +-0.2 dex (Sec. 2.6)",H0=72 Om=0.27 OL=0.73; Chabrier
Tiley+2019a MNRAS 482 2166,1810.07202,Table 4,M* TFR,SAMI_original rot-dom,0.004-0.095 (SAMI),~0,309,hyper-fit orthogonal line; zero_point = log(M*/Msun) at v2.2=100 km/s (Table 4 header),4.0,0.1,free,9.66,0.03,v2.2=100 km/s,0.53,0.03,,,,v2.2 at 1.3 r_e (inclination + beam-smearing corrected),no,M* SED (LePhare),WMAP9 (parameters not quoted); Chabrier
Tiley+2019a MNRAS 482 2166,1810.07202,Table 4,M* TFR,SAMI_original disky,0.004-0.095 (SAMI),~0,134,hyper-fit orthogonal line; zero_point = log(M*/Msun) at v2.2=100 km/s (Table 4 header),4.5,0.2,free,9.37,0.03,v2.2=100 km/s,0.3,0.03,,,,v2.2 at 1.3 r_e (inclination + beam-smearing corrected),no,M* SED (LePhare),WMAP9 (parameters not quoted); Chabrier
Tiley+2019a MNRAS 482 2166,1810.07202,Table 4,M* TFR,SAMI_matched rot-dom,0.004-0.095 (SAMI),~0,186,hyper-fit orthogonal line; zero_point = log(M*/Msun) at v2.2=100 km/s (Table 4 header),3.4,0.2,free,9.87,0.04,v2.2=100 km/s,0.42,0.04,,,,v2.2 at 1.3 r_e (inclination + beam-smearing corrected),no,M* SED (LePhare),WMAP9 (parameters not quoted); Chabrier
Tiley+2019a MNRAS 482 2166,1810.07202,Table 4,M* TFR,SAMI_matched rot-dom,0.004-0.095 (SAMI),~0,186,hyper-fit orthogonal line; zero_point = log(M*/Msun) at v2.2=100 km/s (Table 4 header),4.0,,fixed (to SAMI_original),9.88,0.04,v2.2=100 km/s,0.52,0.04,,,,v2.2 at 1.3 r_e (inclination + beam-smearing corrected),no,M* SED (LePhare),WMAP9 (parameters not quoted); Chabrier
Tiley+2019a MNRAS 482 2166,1810.07202,Table 4,M* TFR,SAMI_matched disky,0.004-0.095 (SAMI),~0,70,hyper-fit orthogonal line; zero_point = log(M*/Msun) at v2.2=100 km/s (Table 4 header),4.3,0.4,free,9.44,0.04,v2.2=100 km/s,0.26,0.05,,,,v2.2 at 1.3 r_e (inclination + beam-smearing corrected),no,M* SED (LePhare),WMAP9 (parameters not quoted); Chabrier
Tiley+2019a MNRAS 482 2166,1810.07202,Table 4,M* TFR,SAMI_matched disky,0.004-0.095 (SAMI),~0,70,hyper-fit orthogonal line; zero_point = log(M*/Msun) at v2.2=100 km/s (Table 4 header),4.5,,fixed (to SAMI_original),9.41,0.04,v2.2=100 km/s,0.28,0.04,,,,v2.2 at 1.3 r_e (inclination + beam-smearing corrected),no,M* SED (LePhare),WMAP9 (parameters not quoted); Chabrier
Tiley+2019a MNRAS 482 2166,1810.07202,Table 4,M* TFR,KROSS rot-dom,0.6-1.0 (KROSS),0.9,259,hyper-fit orthogonal line; zero_point = log(M*/Msun) at v2.2=100 km/s (Table 4 header),3.7,0.3,free,9.88,0.04,v2.2=100 km/s,0.66,0.07,,,,v2.2 at 1.3 r_e (inclination + beam-smearing corrected),no,M* SED (LePhare),WMAP9 (parameters not quoted); Chabrier
Tiley+2019a MNRAS 482 2166,1810.07202,Table 4; Table 5,M* TFR,KROSS rot-dom,0.6-1.0 (KROSS),0.9,259,hyper-fit orthogonal line; zero_point = log(M*/Msun) at v2.2=100 km/s (Table 4 header),3.4,,fixed (to SAMI_matched),9.89,0.04,v2.2=100 km/s,0.61,0.03,0.02,0.06,"KROSS - SAMI_matched, Table 5",v2.2 at 1.3 r_e (inclination + beam-smearing corrected),no,M* SED (LePhare),WMAP9 (parameters not quoted); Chabrier
Tiley+2019a MNRAS 482 2166,1810.07202,Table 4,M* TFR,KROSS disky,0.6-1.0 (KROSS),0.9,112,hyper-fit orthogonal line; zero_point = log(M*/Msun) at v2.2=100 km/s (Table 4 header),5.2,0.6,free,9.19,0.05,v2.2=100 km/s,0.39,0.07,,,,v2.2 at 1.3 r_e (inclination + beam-smearing corrected),no,M* SED (LePhare),WMAP9 (parameters not quoted); Chabrier
Tiley+2019a MNRAS 482 2166,1810.07202,Table 4; Table 5,M* TFR,KROSS disky,0.6-1.0 (KROSS),0.9,112,hyper-fit orthogonal line; zero_point = log(M*/Msun) at v2.2=100 km/s (Table 4 header),4.3,,fixed (to SAMI_matched),9.35,0.04,v2.2=100 km/s,0.33,0.04,-0.09,0.06,"KROSS - SAMI_matched, Table 5",v2.2 at 1.3 r_e (inclination + beam-smearing corrected),no,M* SED (LePhare),WMAP9 (parameters not quoted); Chabrier
Harrison+2017 MNRAS 467 1965,1701.05561,Sec. 4.2 text,inverse M* TFR (v_C vs M*),"rotation-dominated (v_C/sigma0>1), quality 1-3",0.6-1.0,0.9,,log v_C = b + a*[log M* - 10.10] (velocity as dependent variable; mpfit; bootstrap errors),0.33,0.11,free,2.12,0.04,log M* = 10.10,,,,,"Reyes+2011: a=0.278+-0.010, b=2.142+-0.004 (no evolution claimed)",v_C at 2 R_1/2 (inclination + beam-smearing corrected),no,"M* = 0.2 L_H (fixed M/L, 0.3 dex systematic)",H0=70 Om=0.3 OL=0.7; Chabrier
Harrison+2017 MNRAS 467 1965,1701.05561,Sec. 4.2 text,inverse M* TFR (v_C vs M*),gold (RT+),0.6-1.0,0.9,,log v_C = b + a*[log M* - 10.10] (velocity as dependent variable; mpfit; bootstrap errors),0.39,,free (no errors quoted),2.17,,log M* = 10.10,,,,,,v_C at 2 R_1/2 (inclination + beam-smearing corrected),no,"M* = 0.2 L_H (fixed M/L, 0.3 dex systematic)",H0=70 Om=0.3 OL=0.7; Chabrier
